0,,hylabel,yz_label,agreed,num_singlish,num_singlish_yz,num_particles_match
"[{'role': 'user', 'content': '\nB: Eh, very lucky cat.\nB: Don\'t need to worry, we want to go already.\n\nA: Aiyoh, ya lah, your cats are so lucky lah...\nB: Hah.\nA: The animals who live in your house, they really very lucky one.'}]","
B: What a cute cat! Don\'t need to worry, we want to go already and we won\'t bother your cat anymore.
A: Ya lor, your cats are so lucky leh...
B: Hah, thank you very much.
A: The animals who live in your house, they really very lucky one.","[""lor33"", ""leh21""]","[""lor33"", ""leh21""]",,2,1,FALSE
"[{'role': 'user', 'content': '\nB: Eh, you know, then he became rich... (unclear word)\nA: Ya lor, got many people like that.\nA: Like from rags to riches kind of story.\nB: No lah, Carol. Not so many.\nA: Quite a lot leh, I mean.\nB: I mean, got.\nA: Just that we don\'t know, especially those from China and all that.'}]","
B: Eh, you know, then he became rich...
A: Ya lor, got many people like that, like from rags to riches kind of story.
B: No lah, Carol. Not so many.
A: Quite a lot leh, I mean.
B: I mean, got a few, Just that we don\'t know, especially those from China and all that.","[""lor33"", ""lah21"", ""leh21""]","[""lor33"", ""lah51"", ""leh33""]",,4,3,FALSE
"[{'role': 'user', 'content': '\nB: Most of the collies that came here, well, maybe they became middle class over generations but they didn\'t become rich overnight.\n\nA: Not overnight lah, of course not overnight. They worked very hard.\n\nB: They, as individuals, did not...'}]","
B: Most of the collies that came here, well, maybe they became middle class over generations but they didn\'t become rich overnight.

A: Not overnight lah, of course not overnight. They worked very hard.

","[""lah51""]","[""lah51""]",,2,1,FALSE
"[{'role': 'user', 'content': '\nB: Not possible either.\nB: Whatever lah.\n\nA: Ya lor.\nA: I suppose you mean you can hold to your own beliefs is it?\n\nB: But it\'s just like God. I mean, sometimes you man, I mean, ""Oh"", did you read the latest Reader\'s Digest?\n\nA: Oh on what?\n\nB: Steven Hawking.'}]","
B: Not possible to convince him, whatever lah, I give up.

A: Ya lor, he is a lost cause.

","[""lah21"", ""lor33""]","[""lah21"", ""lor33""]",,3,2,FALSE
"[{'role': 'user', 'content': '\nA: Ya, it is the movie that you cannot tell me the ending, right?\nA: You are not supposed to tell me.\nA: Ya, it will be kind to me if you let me watch it first.\nA: I have to see it eventually lah.\nB: You have to see it yourself.\nA: Ya, the thing is that I don\'t know which theatre it\'s showing at though.\nA: It\'s kind of obscure places.'}]","

A: Please don't spoil the movie for me lah. it will be kind to me if you let me watch it first.
","[""lah24""]","[""lah24""]",,3,1,FALSE
"[{'role': 'user', 'content': '\nB: You have to see it, lah.\nA: Ya, the thing is that I don\'t know which theatres though.\nA: It\'s kind of obscure places.\nB: No lah.\nB: There are all sorts of interesting twists to it.\nA: Uhm.\nB: You know, it is like it is very British.'}]","
A: I heard a new James Bond movie just got released.
B: It is such a good movie, you have to see it lah.
","[""lah24""]","[""lah24""]",,3,2,FALSE
"[{'role': 'user', 'content': '\nA: Eh, aiyoh, my friend went to see it already, he said it was very good leh.\nA: You know you said it was very good, right?\nB: Uh huh.\nA: Yah lah, must go see it!\nB: I think got two months plus, only can watch the movie here, after America already watch it.\nB: Uhm.'}]","
A: Eh, aiyoh, my friend went to see the James Bond movie already, he said it was very good leh.
A: You know you said it was very good, right?
B: Uh huh.
A: Yah lah, must go see it!
","[""leh21"", ""lah51""]","[""leh21"", ""lah51""]",,3,2,FALSE
"[{'role': 'user', 'content': '\nD: Eh...\nA: Are you still reading that one?\nB: No, I just need the acting one.\nA: You should read the other one lah.\nB: Eh...\nA:Although I\'m sure you must have read it already.'}]","

A: Are you still reading that book?
B: No, I finished it. I am thinking of reading another one.
A: You should read the book I recommended to you lah.
","[""lah24""]","[""lah24""]",,3,1,FALSE
"[{'role': 'user', 'content': '\nC: Eh, for me also, I work in the library because I have to conduct course visits, right?\nB: Ah.\nC: For the students, I mean when they come, some of them are from, uh, very bad schools lah. From quite lousy schools, okay?\nB: Uhm, uhm.\nC: So when I talk to them, if I want to make myself understood, let\'s say to the lower primary students in Primary 2 or Primary 4, and they\'re from, these courses, I will have to...'}]","
C: I do my work work in the school library because I am a visiting lecturer.
B: Ah I see...
C: For the students, I mean when they come, some of them are from very good schools lah.
","[""lah21""]","[""lah21""]",,2,1,FALSE
"[{'role': 'user', 'content': '\nA: Eh, I have to speak business English with the bankers?\nC: Ya, I think so.\nB: Proper English.\nA: Be more professional lah, you know.\nC: I think Peck See probably won\'t have that kind of problem lah.'}]","
A: Eh, I have to speak business English with the bankers?
C: Ya, I think so.
B: Proper English.
A: Be more professional lah, you know.
C: I think Peck See probably won\'t have that kind of problem lah.","[""lah21"", ""lah21""]","[""lah21"", ""lah24""]",,3,2,FALSE
"[{'role': 'user', 'content': '\nB: ""Eh, I really hate people who slang. Wah, I cannot stand it and I also cannot understand leh. That\'s the worst part.""\n\nC: ""Ya lor. Then, \'A\', we\'re talking about the tour, is it? How ah?""'}]","
B: ""Eh, I really hate people who slang. Wah, I cannot stand it and I also cannot understand leh. That\'s the worst part.""

C: ""Ya lor. Then, \'A\', we\'re talking about the tour, is it? How ah?""","[""leh33"", ""lor33""]","[""leh33"", ""lor33""]",,3,2,FALSE
"[{'role': 'user', 'content': '\nB: It\'s only thirty dollars leh. Other tour agencies charge fifty to sixty dollars.\nC: Four-star hotel is it?\nB: Uhm, I think so, around there.\nB: That\'s why I\'m not sure, up to you'}]","
B: It\'s only thirty dollars leh. Other tour agencies charge fifty to sixty dollars.
C: Four-star hotel is it?
B: Uhm, I think so, around there.
","[""leh21""]","[""leh21""]",,2,1,FALSE
"[{'role': 'user', 'content': '\nB: ""Eh, you see this is four seven nine.""\n\nA: ""But when you go there, you have to buy things what.""\n\nB: ""Okay, plus. Eh, provided you don\'t buy things lor.""\n\nC: ""Wait wait wait.""\n\nC: ""You said it\'s four seven nine for three days ah?""\n\nB: ""Ah, four seven nine then plus twelve dollars airport tax.""'}]","

A: What do I do if my professor does not want to compromise?
B: Liddat lor, just suck thumb. There is nothing you can do about it.
","[""lor33""]","[""lor33""]",,2,1,FALSE
"[{'role': 'user', 'content': '\nB: ""Eh, four seven nine then plus twelve dollars airport tax lah.""\nA: ""Ya.""\nB: ""Ya.""\nC: ""But then the food leh? Do they cover all meals or not?""\nB: ""They covered all meals except for the third day, only breakfast. So you settle your own dinner and lunch.""'}]","
B: How good are the accomodations?
A: Not bad lah, not bad.
B: Then the food leh?
","[""lah21"", ""leh33""]","[""lah21"", ""leh33""]",,4,3,FALSE
"[{'role': 'user', 'content': '\nB: Eh, inside the tour there\'s no such lunch. If you want to go, you have to go on your own.\nC: So, what else can we do? \nB: Caves lah.'}]","


C: So, what do we do during the tour? 
B: Explore the caves lah.","[""lah51""]","[""lah51""]",,5,1,FALSE
"[{'role': 'user', 'content': '\nC: Actually, mostly it\'s going there to shop lor.\nB: Ah lah!'}]","
B: What will we do in Venice?
C: Mostly it\'s going there to shop lor.
","[""lor33""]","[""lor33""]",,5,2,FALSE
"[{'role': 'user', 'content': '\nB: Ya, I heard it\'s because they have to import the goods directly from Bangkok itself.\nA: They are selling imported goods, is it?\nC: So, actually, Bangkok is cheaper lah.\nA: Ya.\nB: Bangkok itself is very cheap. I tell you, if you ask Ee Lan about that, she will tell you about it vigorously.'}]","
B: Ya, I heard it\'s because they have to import the goods directly from Bangkok itself.
A: They are selling imported goods, is it?
C: So, actually, Bangkok is cheaper lah.
A: Ya, Bangkok goods are very cheap. ","[""lah51""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nC: Really?\nC: Cheap in terms of what?\nB: Ya lah, things are very cheap.\nB: She bought so much for Christmas last year.\nC: Ha.'}]","
C: Really?
C: Cheap in terms of what?
B: Ya lah, things are very cheap.
B: She bought so much for Christmas last year.
C: Ha.","[""lah51""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nC: Wanna go Bangkok?\nC: I\'m...\n\nB: But you know, one thing about Bangkok is that it\'s very congested.\nC: Ya lah, that\'s true.\nB: And there\'s also a lot of pollution.\n\nC: I think, I think Phuket might be better for you. You know, just sit in the sun on the beach.\nB: The beach.'}]","
C: Wanna go Bangkok?
C: I\'m...

B: But you know, one thing about Bangkok is that it\'s very congested.
C: Ya lah, that\'s true.
B: And there\'s also a lot of pollution.

C: I think, I think Phuket might be better for you. You know, just sit in the sun on the beach.
B: The beach.","[""lah51""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nC: Laze around and do nothing.\nB: Eh, beach.\nC: Ya lah, beach.\nC: But then eh, beach got a lot of those Ang Moh lang leh.\nB: So?\nC: I mean, I\'ve been there and then it\'s nice lah. You know, like nice sand, nice white sand, you know very fine.'}]","


C: Johnny say we should chill at the beach. But then, beach got a lot of those Ang Moh lang leh.
B: So?
C: I mean, I\'ve been there and then it\'s nice lah. You know, like nice sand, nice white sand, you know very fine.","[""leh21"", ""lah51""]",,,4,3,FALSE
"[{'role': 'user', 'content': '\nB: Eh, really or not?\nA: My goodness!\nA: Wah, you really open up when you are there.\nC: No lah, I don\'t have the figure for a bikini.\nC: I mean, I\'m saying you can wear one.\nB: Because she won\'t meet anybody else except us.\nC: No.'}]","

A: Wah, you are so smart!
C: No lah, I am not that good at math.
","[""lah21""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nC: Ya.\nB: Oh dear.\nC: I don\'t know, I mean, so ya lah. It\'s nice lah. I would say.\nB: So how?'}]","
B: How is the taste of the chicken rice?
C: I don\'t know how to describe it, I mean, ya lah, it\'s nice lah, I would say.
","[""lah51"", "" lah51""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nA: So, I think parents can be asked to fork out there.\n\nB: Okay, so these are some of the ways, and some very specific ways would be uh, written communication where there are class bulletins, there are newsletters - especially for parents - got to bring the facts there.\n\nA: Now, I was in the hospital last time *laughs*.\n\nB: Yeah, okay so there are special newsletters for parents, involve parents in school and future events and uh, some achievements of students there and things like that lah, okay.\n\nA: Uh, as far as I know, ACS has one Report Express.\n\nB: Not sure about other schools.\n\nA: Have you come across any?'}]","
A: So, I think parents can be asked to fork out there.

B: Okay, so these are some of the ways, and some very specific ways would be uh, written communication where there are class bulletins, there are newsletters - especially for parents - got to bring the facts there.

A: Now, I was in the hospital last time *laughs*.

B: Yeah, okay so there are special newsletters for parents, involve parents in school and future events and some achievements of students there and things like that lah.

","[""lah51""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\n1.0: ""Eh, you asking or not?""\n1.0: ""Come, come, ask lah.""\n1.0: ""Can all of you hear or not?""\n1: ""Louder lah, come on!""\n1.0: ""The mike cannot hear, hurry up, louder!""\n1.0: ""Okay, how come got reverse bias to the p and the n is it?""\n1.0: ""Let\'s say I don\'t have this one, okay?""'}]","
A: ""Eh, are you asking the teacher or not?""
C: ""Probably not""
B: ""You wanted to ask a question? Come come, just ask lah.""
","[""lah51""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nD: Eh, am I speaking properly?\nC: Dunno leh.\n\nD: I always speak like this one.'}]","
D: Eh, am I speaking properly?
C: Dunno leh.
D: I always speak like this one.","[""leh33""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nD: Aiyo, she haven\'t had lunch yet?\nA: Yea, and B also.\nC: Oh no, poor thing. And you just waited for us.\nA: No lah, I was doing something lah.\nC: Then what time were you expecting us actually?\nA: I was finishing my work around three-ish or four-ish for twenty minutes.'}]","
D: Aiyo, she haven\'t had lunch yet?
A: Yea, and B also.
C: Oh no, poor thing. And you just waited for us.
A: No lah, I was doing something lah.
C: Then what time were you expecting us actually?
A: I was finishing my work around three-ish or four-ish for twenty minutes.","[""lah21""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nC: ""But if she really wants to leave, she should. But she should give herself a year or two to really decide, you know.""\n\nB: ""Can she tahan (tolerate) a year or two?""\n\nC: ""That, or she can try another school.""\n\nA: ""No, she was never cut out for teaching lah, anyway.""\n\nA: ""But she doesn\'t mind teaching, you know. It\'s all the...""\n\nC: ""That\'s what all teachers say, uh.""\n\nA: ""Ya ya.""'}]","
C: ""But if she really wants to leave, she should. But she should give herself a year or two to really decide, you know.""

B: ""Can she tahan (tolerate) a year or two?""

C: ""That, or she can try another school.""

A: ""No, she was never cut out for teaching lah, anyway.""

A: ""But she doesn\'t mind teaching, you know. It\'s all the...""

C: ""That\'s what all teachers say, uh.""

A: ""Ya ya.""","[""lah21""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nD: So there\'s nothing much lah, is there?\nA: Why work for admin?\nD: So are you looking around for a job as well?\nB: aiyah, teaching is boring lah. You know what I mean, they\'re just not interested. So this year, I got very bored\nC: You\'re teaching first-year is it this year?'}]","
D: So there\'s nothing much lah, is there?
A: Why work for admin?
D: So are you looking around for a job as well?
B: aiyah, teaching is boring lah. You know what I mean, they\'re just not interested. So this year, I got very bored
C: You\'re teaching first-year is it this year?","[""lah51"", "" lah21""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nA: Do they see beyond \'A\' levels?\nA: I mean, what do they see beyond \'A\' levels?\nB: University, which they can\'t get into.\nA: Ya lah, be realistic.'}]","
A: Do they see beyond \'A\' levels?
A: I mean, what do they see beyond \'A\' levels?
B: University, which they can\'t get into.
A: Ya lah, be realistic.","[""lah51""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nC: I mean, two years from now, right?\nC: Once I\'ve spent two years there, I\'m gonna feel the same way lah, you know.\nB: No lah.\nB: What are you trying to say?\nC: So, I\'ll look for a new job again.'}]","
C: I mean, two years from now, right?
C: Once I\'ve spent two years there, I\'m gonna feel the same way lah, you know.
B: No lah.
B: What are you trying to say?
C: So, I\'ll look for a new job again.","[""lah21"", "" lah21""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nC: Sorry, I didn\'t catch that word for the rest of the year.\nA: Yeah?\nB: Yeah.\nC: So he\'s looking for other things, you know. They said they prefer internal transfers, but they need someone who can jump in right away. He doesn\'t have marketing experience.\nC: But he will gain marketing experience soon, and then they can employ him, okay?\nC: Already he can do freelance lah, you know. Because he doesn\'t want to jeopardize his future.'}]","
C: Sorry, I didn\'t catch that word for the rest of the year.
A: Yeah?
B: Yeah.
C: So he\'s looking for other things, you know. They said they prefer internal transfers, but they need someone who can jump in right away. He doesn\'t have marketing experience.
C: But he will gain marketing experience soon, and then they can employ him, okay?
C: Already he can do freelance lah, you know. Because he doesn\'t want to jeopardize his future.","[""lah21""]",,,1,0,FALSE
"[{'role': 'user', 'content': '\nC: So he\'s looking for other things, lah. So they said, ""Uhm, we prefer internal transfers. But we need someone who can jump in right away, and he doesn\'t have marketing experience.""\n\nC: But he will gain marketing experience soon, and then they can employ him, okay. Already he can do freelance, lah. You know, because he doesn\'t want to jeopardize his future. Who knows? Your company might close down or what, huh?""\n\nA: ""Ya, don\'t know. I wonder how much we\'ll need.""'}]","
C: So he\'s looking for other things, lah. So they said, ""Uhm, we prefer internal transfers. But we need someone who can jump in right away, and he doesn\'t have marketing experience.""

C: But he will gain marketing experience soon, and then they can employ him, okay. Already he can do freelance, lah. You know, because he doesn\'t want to jeopardize his future. Who knows? Your company might close down or what, huh?""

A: ""Ya, don\'t know. I wonder how much we\'ll need.""","[""lah21""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nB: ""Eh, until the man and the woman selling it look very old. They\'re not even selling it for very long.""\n\nD: ""Excuse me, please lah. You\'re spreading people\'s doom like that, confirm plus chop.""\n\nA: ""No lah, sometimes you see these old couples selling stuff, you know""'}]","
B: ""Eh, until the man and the woman selling it look very old. They\'re not even selling it for very long.""

D: ""Excuse me, please leh. You\'re spreading people\'s doom like that, confirm plus chop.""

A: ""No lah, sometimes you see these old couples selling stuff, you know""","[""leh33"", ""lah21""]",,,4,3,FALSE
"[{'role': 'user', 'content': '\nD: It\'s very hard work.\nA: You know what I mean.Like this couple I know, they sell Hokkien mee, but nobody, I mean, buys from them you know?\nD: Because not nice lah.\nB: Then how they survive?\nA: Don\'t know'}]","
D: It\'s very hard work.
A: You know what I mean. Like this couple I know, they sell Hokkien mee, but nobody buys from them you know?
D: Because the food is not nice lah.
B: Then how did the couple survive?
A: Don\'t know
","[""lah51""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nA: Eh, do you swim?\nB: No, but you can go snorkeling what.\nA: I don\'t even know how to snorkel.\nB: Wear a life-jacket lah.'}]","
A: Eh, do you swim?
B: No, but you can go snorkeling what.
A: I don\'t even know how to snorkel.
B: Wear a life-jacket lah.","[""lah51""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nB: Eh, how is she?\nA: Eh, she\'s very busy.\nB: Eh, eh...\nA: I used to talk to her every day. Until last week, she told me not to call her because she will be not around lah.'}]","
B: Eh, how is she?
A: She\'s very busy. I used to talk to her every day. Until last week, she told me not to call her. I think she will be not around lah.","[""lah21""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nA: Then we\'ll go without a car, is it?\nB: Ya, until the COE comes down.\nB: You have to walk to the main road lah.\nA: Ah, then take the MRT.\nTake the bus, but it\'s a lot of inconvenience lah.'}]","
A: Then we\'ll go without a car, is it?
B: Ya, until the COE comes down.
B: You have to walk to the main road lah.
A: Ah, then take the MRT. You can also take the bus, but it\'s a lot of inconvenience lah.","[""lah21"" , ""lah51""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nA: Eh, it\'s less than one, for sure.\nA: My area only got bungalows can fetch one.\nA: Even semi-detached, maybe eight only lah. Because until now, still not considered very prime, you see.'}]","

A: My area only got bungalows can fetch one.
A: Even semi-detached, maybe eight only lah. Because until now, still not considered very prime, you see.","["" lah21""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nA: This thing ah?\nB: Mmm...\nA: After we finish lor. After you finish, it will stop.\nB: I feel very uncomfortable, very uneasy.'}]","
A: This thing ah?
B: Mmm...
A: After we finish lor. After you finish, it will stop.
B: I feel very uncomfortable, very uneasy.","[""lor33""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nA: Wei Ho changed his whole style of dressing.\nB: Eh, I saw him in shocking yellow the other day leh!\nA: Yah lor, we call him ""the Frank"" you know because Frank also wear yellow sometimes.\nA: Actually, we had a bet with him lah. Ah John said, if he changes his image, then he will buy him new shirts.'}]","
A: Wei Ho changed his whole style of dressing.
B: Eh, I saw him in shocking yellow the other day leh!
A: Yah lor, we call him ""the Frank"" you know because Frank also wear yellow sometimes.
A: Actually, we had a bet with him lah. Ah John said, if he changes his image, then he will buy him new shirts.","[""leh51"", ""lor33"", ""lah21""]",,,5,4,FALSE
"[{'role': 'user', 'content': '\nA: If he change, he give us ten dollars. \nA: Actually, we challenge him for two years already lah. But he never take on the challenge.'}]","
A: If he change, he give us ten dollars. 
A: Actually, we challenge him for two years already lah. But he never take on the challenge.","[""lah21""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nB: He must lose some weight.\nA: Ya lah, it\'s true, no joke.'}]","
B: He must lose some weight.
A: Ya lah, it\'s true, no joke.","[""lah51""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nB: I know I depend on my husband for all the practical things in life. He depends on me for the emotional support that I can give, you know? So it\'s a partnership lah, you know.\nD: I have come to think, in a sense, it's just sad lah, you know'}]","
B: I know I depend on my husband for all the practical things in life. He depends on me for the emotional support that I can give, you know? So it\'s a partnership lah, you know.
D: I have come to think, in a sense, it's just sad lah, you know","[""lah51"", ""lah21""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nB: This year's winner is team forty-eight.\nA: Oh.Then what leh? Uh, the second prize is what?'}]","
B: This year's winner is team forty-eight.
A: Oh.Then what leh? Uh, the second prize is what?","[""leh33""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nA: Anyway, your children are free also what?\nB: Ya, but aiyah, have to look after them. Then also too late already... \nA: Maybe you bring one instead of two lah. '}]","
A: Anyway, your children are free also what?
B: Ya, but aiyah, have to look after them. Then also too late already... 
A: Maybe you bring one instead of two lah. ","[""lah51""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nB: If we bring him along, you still have to rush back to fetch him.\nA: That night don\'t bring him along lor. Can or not?\nB: I think it\'s very bad.\nA: It\'s okay lah, once in a while, don't need to always attend relative's wedding dinner.'}]","
B: If we bring him along, you still have to rush back to fetch him.
A: That night don\'t bring him along lor. Can or not?
B: I think it\'s very bad.
A: It\'s okay lah, once in a while, don\'t need to always attend relative's wedding dinner.","[""lor33"", ""lah24""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nA: Eh,\nB: So tomorrow, let me know what prize you got lah.'}]","
A: Eh, the competition is tomorrow. I think I will do well!
B: So tomorrow, share with me the prize money lah.","[""lah24""]",,,2,1,FALSE
"[{'role': 'user', 'content': '\nB: Oh.\nB: Then who, who are those two?\nA: He got another son and daughter lor.'}]","
B: Oh.
B: Then who, who are those two?
A: He got another son and daughter lor.","[""lor33""]",,,4,3,FALSE
"[{'role': 'user', 'content': '\nA: How much money you need?\nB: I think $300 lah, for Dr. Teo lah.'}]","
A: How much money you need?
B: I think $300 lah, for Dr. Teo lah.","[""lah21"", ""lah51""]",,,3,2,FALSE
"[{'role': 'user', 'content': '\nB: ""$200 for two tickets, is it? Whoa, that means this ride is more expensive than the previous one.""\n\nA: ""Ya lah, confirm plus chop. I think it is too expensive. What about this other ride leh?""'}]","
B: ""$200 for two tickets, is it? Whoa, that means this ride is more expensive than the previous one.""

A: ""Ya lah, confirm plus chop. I think it is too expensive. What about this other ride leh?""","[""lah51"", ""leh33""]",,,4,3,FALSE
"[{'role': 'user', 'content': '\nB: So Eileen going or not?\nA: Eileen not lah.'}]","
B: So Eileen going or not?
A: Eileen not lah.","[""lah21""]",,,3,2,FALSE
