0,num_singlish,output
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Eh, because it is ""pedi-pedigree"" is it?\nA: Patrich, what\'s the word? Pedigree cat.\n\nB: Yes and no, I don\'t think they make a differentiation. But I think it\'s just something they like, do a random check.\nA: Ah, like they check randomly lah.\nB: Ya, just pick on you know, uh, they just want to check on the new, adopted ones.'}]",2,['lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Eh, very lucky cat.\nB: Don\'t need to worry, we want to go already.\n\nA: Aiyoh, ya lah, your cats are so lucky lah...\nB: Hah.\nA: The animals who live in your house, they really very lucky one.'}]",2,"['lah51', ' lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Eh, you know, then he became rich... (unclear word)\nA: Ya lor, got many people like that.\nA: Like from rags to riches kind of story.\nB: No lah, Carol. Not so many.\nA: Quite a lot leh, I mean.\nB: I mean, got.\nA: Just that we don\'t know, especially those from China and all that.'}]",4,"['lor33', ' lah21', 'leh33']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Most of the collies that came here, well, maybe they became middle class over generations but they didn\'t become rich overnight.\n\nA: Not overnight lah, of course not overnight. They worked very hard.\n\nB: They, as individuals, did not...'}]",2,['lah51|lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Not possible either.\nB: Whatever lah.\n\nA: Ya lor.\nA: I suppose you mean you can hold to your own beliefs is it?\n\nB: But it\'s just like God. I mean, sometimes you man, I mean, ""Oh"", did you read the latest Reader\'s Digest?\n\nA: Oh on what?\n\nB: Steven Hawking.'}]",3,"['lah21', 'lor33']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Ya, it is the movie that you cannot tell me the ending, right?\nA: You are not supposed to tell me.\nA: Ya, it will be kind to me if you let me watch it first.\nA: I have to see it eventually lah.\nB: You have to see it yourself.\nA: Ya, the thing is that I don\'t know which theatre it\'s showing at though.\nA: It\'s kind of obscure places.'}]",3,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: You have to see it, lah.\nA: Ya, the thing is that I don\'t know which theatres though.\nA: It\'s kind of obscure places.\nB: No lah.\nB: There are all sorts of interesting twists to it.\nA: Uhm.\nB: You know, it is like it is very British.'}]",3,"['lah24|lah21', ' lah24|lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Eh, aiyoh, my friend went to see it already, he said it was very good leh.\nA: You know you said it was very good, right?\nB: Uh huh.\nA: Yah lah, must go see it!\nB: I think got two months plus, only can watch the movie here, after America already watch it.\nB: Uhm.'}]",3,"['leh33', ' lah51']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nD: Eh...\nA: Are you still reading that one?\nB: No, I just need the acting one.\nA: You should read the other one lah.\nB: Eh...\nA:Although I\'m sure you must have read it already.'}]",3,['lah24|lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: Eh, for me also, I work in the library because I have to conduct course visits, right?\nB: Ah.\nC: For the students, I mean when they come, some of them are from, uh, very bad schools lah. From quite lousy schools, okay?\nB: Uhm, uhm.\nC: So when I talk to them, if I want to make myself understood, let\'s say to the lower primary students in Primary 2 or Primary 4, and they\'re from, these courses, I will have to...'}]",2,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Eh, I have to speak business English with the bankers?\nC: Ya, I think so.\nB: Proper English.\nA: Be more professional lah, you know.\nC: I think Peck See probably won\'t have that kind of problem lah.'}]",3,"['lah21', ' lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: ""Eh, I really hate people who slang. Wah, I cannot stand it and I also cannot understand leh. That\'s the worst part.""\n\nC: ""Ya lor. Then, \'A\', we\'re talking about the tour, is it? How ah?""'}]",3,"[' leh33', 'lor33']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: It\'s only thirty dollars leh. Other tour agencies charge fifty to sixty dollars.\nC: Four-star hotel is it?\nB: Uhm, I think so, around there.\nB: That\'s why I\'m not sure, up to you'}]",2,['leh33']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: ""Eh, you see this is four seven nine.""\n\nA: ""But when you go there, you have to buy things what.""\n\nB: ""Okay, plus. Eh, provided you don\'t buy things lor.""\n\nC: ""Wait wait wait.""\n\nC: ""You said it\'s four seven nine for three days ah?""\n\nB: ""Ah, four seven nine then plus twelve dollars airport tax.""'}]",2,['lor33']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: ""Eh, four seven nine then plus twelve dollars airport tax lah.""\nA: ""Ya.""\nB: ""Ya.""\nC: ""But then the food leh? Do they cover all meals or not?""\nB: ""They covered all meals except for the third day, only breakfast. So you settle your own dinner and lunch.""'}]",4,['leh55']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Eh, inside the tour there\'s no such lunch. If you want to go, you have to go on your own.\nC: So, what else can we do? \nB: Caves lah.'}]",5,['lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: Actually, mostly it\'s going there to shop lor.\nB: Ah lah!'}]",5,['lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: I mean, shopping is good because got leather goods lah. Then you know, those made of shells also.\n\nB: But I don\'t know.\n\nA: You know, Phuket is not a cheap place lah. Phuket itself is not a cheap place to get.\n\nC: Huh? It\'s not a cheap place.'}]",3,"['lah21', ' lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Ya, I heard it\'s because they have to import the goods directly from Bangkok itself.\nA: They are selling imported goods, is it?\nC: So, actually, Bangkok is cheaper lah.\nA: Ya.\nB: Bangkok itself is very cheap. I tell you, if you ask Ee Lan about that, she will tell you about it vigorously.'}]",2,['leh21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: Really?\nC: Cheap in terms of what?\nB: Ya lah, things are very cheap.\nB: She bought so much for Christmas last year.\nC: Ha.'}]",2,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: Wanna go Bangkok?\nC: I\'m...\n\nB: But you know, one thing about Bangkok is that it\'s very congested.\nC: Ya lah, that\'s true.\nB: And there\'s also a lot of pollution.\n\nC: I think, I think Phuket might be better for you. You know, just sit in the sun on the beach.\nB: The beach.'}]",2,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: Laze around and do nothing.\nB: Eh, beach.\nC: Ya lah, beach.\nC: But then eh, beach got a lot of those Ang Moh lang leh.\nB: So?\nC: I mean, I\'ve been there and then it\'s nice lah. You know, like nice sand, nice white sand, you know very fine.'}]",4,"['lah21|lah51', ' leh33', 'lah51|lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: Wah, Beach!\nC: But then, Beach got a lot of those Ang Moh Lang leh.\nB: So?\nC: I mean, I\'ve been there before lah. It\'s nice.\nC: You know, like nice sand, nice white sand, very fine.\nC: The sand is very fine and then the water, you know, it\'s not like Singapore beach leh.\nC: You walk for a short while and then wam, it\'s already quite deep.'}]",4,"['lah21', 'leh33' ]"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Eh, really or not?\nA: My goodness!\nA: Wah, you really open up when you are there.\nC: No lah, I don\'t have the figure for a bikini.\nC: I mean, I\'m saying you can wear one.\nB: Because she won\'t meet anybody else except us.\nC: No.'}]",2,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: Ya.\nB: Oh dear.\nC: I don\'t know, I mean, so ya lah. It\'s nice lah. I would say.\nB: So how?'}]",3,"['lah51', ' lah51']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: ""You\'re not keen, is it?""\nB: ""You know why, even if we go with a group, okay?\nB: ""If we don\'t go on a tour, when you go out, it\'s always the whole group going out, it\'s in.""\nC: ""Ya lah.""\nC: ""The only thing is that we know each other more, help each other.""\nB: ""No doubt, ya. But then we won\'t...""\nB: ""Ya.""'}]",2,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: So, I think parents can be asked to fork out there.\n\nB: Okay, so these are some of the ways, and some very specific ways would be uh, written communication where there are class bulletins, there are newsletters - especially for parents - got to bring the facts there.\n\nA: Now, I was in the hospital last time *laughs*.\n\nB: Yeah, okay so there are special newsletters for parents, involve parents in school and future events and uh, some achievements of students there and things like that lah, okay.\n\nA: Uh, as far as I know, ACS has one Report Express.\n\nB: Not sure about other schools.\n\nA: Have you come across any?'}]",2,[' lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\n1.0: ""Eh, you asking or not?""\n1.0: ""Come, come, ask lah.""\n1.0: ""Can all of you hear or not?""\n1: ""Louder lah, come on!""\n1.0: ""The mike cannot hear, hurry up, louder!""\n1.0: ""Okay, how come got reverse bias to the p and the n is it?""\n1.0: ""Let\'s say I don\'t have this one, okay?""'}]",3,"['lah51|lah24', ' lah51']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nD: Eh, am I speaking properly?\nC: Dunno leh.\n\nD: I always speak like this one.'}]",2,['leh33']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nD: Aiyo, she haven\'t had lunch yet?\nA: Yea, and B also.\nC: Oh no, poor thing. And you just waited for us.\nA: No lah, I was doing something lah.\nC: Then what time were you expecting us actually?\nA: I was finishing my work around three-ish or four-ish for twenty minutes.'}]",3,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: ""But if she really wants to leave, she should. But she should give herself a year or two to really decide, you know.""\n\nB: ""Can she tahan (tolerate) a year or two?""\n\nC: ""That, or she can try another school.""\n\nA: ""No, she was never cut out for teaching lah, anyway.""\n\nA: ""But she doesn\'t mind teaching, you know. It\'s all the...""\n\nC: ""That\'s what all teachers say, uh.""\n\nA: ""Ya ya.""'}]",2,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nD: So there\'s nothing much lah, is there?\nA: Why work for admin?\nD: So are you looking around for a job as well?\nB: aiyah, teaching is boring lah. You know what I mean, they\'re just not interested. So this year, I got very bored\nC: You\'re teaching first-year is it this year?'}]",2,"['lah51', ' lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Do they see beyond \'A\' levels?\nA: I mean, what do they see beyond \'A\' levels?\nB: University, which they can\'t get into.\nA: Ya lah, be realistic.'}]",2,['lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: I mean, two years from now, right?\nC: Once I\'ve spent two years there, I\'m gonna feel the same way lah, you know.\nB: No lah.\nB: What are you trying to say?\nC: So, I\'ll look for a new job again.'}]",3,"['lah21', ' lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: Sorry, I didn\'t catch that word for the rest of the year.\nA: Yeah?\nB: Yeah.\nC: So he\'s looking for other things, you know. They said they prefer internal transfers, but they need someone who can jump in right away. He doesn\'t have marketing experience.\nC: But he will gain marketing experience soon, and then they can employ him, okay?\nC: Already he can do freelance lah, you know. Because he doesn\'t want to jeopardize his future.'}]",1,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nC: So he\'s looking for other things, lah. So they said, ""Uhm, we prefer internal transfers. But we need someone who can jump in right away, and he doesn\'t have marketing experience.""\n\nC: But he will gain marketing experience soon, and then they can employ him, okay. Already he can do freelance, lah. You know, because he doesn\'t want to jeopardize his future. Who knows? Your company might close down or what, huh?""\n\nA: ""Ya, don\'t know. I wonder how much we\'ll need.""'}]",3,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: ""Eh, until the man and the woman selling it look very old. They\'re not even selling it for very long.""\n\nD: ""Excuse me, please lah. You\'re spreading people\'s doom like that, confirm plus chop.""\n\nA: ""No lah, sometimes you see these old couples selling stuff, you know""'}]",4,"['leh33', 'lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nD: It\'s very hard work.\nA: You know what I mean.Like this couple I know, they sell Hokkien mee, but nobody, I mean, buys from them you know?\nD: Because not nice lah.\nB: Then how they survive?\nA: Don\'t know'}]",3,['lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Eh, do you swim?\nB: No, but you can go snorkeling what.\nA: I don\'t even know how to snorkel.\nB: Wear a life-jacket lah.'}]",2,[' lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Eh, how is she?\nA: Eh, she\'s very busy.\nB: Eh, eh...\nA: I used to talk to her every day. Until last week, she told me not to call her because she will be not around lah.'}]",2,[' lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Then we\'ll go without a car, is it?\nB: Ya, until the COE comes down.\nB: You have to walk to the main road lah.\nA: Ah, then take the MRT.\nTake the bus, but it\'s a lot of inconvenience lah.'}]",3,"['lah21|lah51' , ' lah51']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Eh, it\'s less than one, for sure.\nA: My area only got bungalows can fetch one.\nA: Even semi-detached, maybe eight only lah. Because until now, still not considered very prime, you see.'}]",2,[' lah21']
