,0
16,"B: Teacher now now teacher already
A: *laughs* Aiyah
B: So you decided not to quit already ha not to change job already [lah] now
A: Uhm
B: Do you know she you know he that the he join the NCC thing
A: How do you know"
17,"A: Then we spend what huh Five hours travelling and waiting
A: I left my house at one met in school at two
A: Suppose to meet at two
A: Then some students came late you know came about two plus almost three so we left West coast [lah] at three
A: then we travelled uh okay we waited for a long time for fifty-one after that took the train then up till Eunos
A: uh the train broke down
B: Aiyoh"
18,"B: How come your
A: Without eating without even smelling the fire
B: How come your go all the way to Pasir Ris where you could have west coast
A: Ya [lor] Because uhm ya they couldn't get they fully booked at west coast so they could get it but Pasir Ris
A: not bad you know their new park just beside NTUC quite nice quite nice
A: Then the the sea part is quite ah the beach is quite broad also ah
A: different from west coast because west coast is very crowded right"
19,"B: How come your go all the way to Pasir Ris where you could have west coast
A: Ya lor Because uhm ya they couldn't get they fully booked at west coast so they could get it but Pasir Ris
A: not bad you know their new park just beside NTUC quite nice quite nice
A: Then the the sea part is quite [ah] the beach is quite broad also [ah]
A: different from west coast because west coast is very crowded right
A: all the ship and all that over there is very clear so it's good
A: ya lah so that day was the last Then I I won't be going down anymore for their"
20,"A: Then the the sea part is quite ah the beach is quite broad also ah
A: different from west coast because west coast is very crowded right
A: all the ship and all that over there is very clear so it's good
A: ya [lah] so that day was the last Then I I won't be going down anymore for their
B: The other teacher has taken over
A: She has taken since she join in July But she's away now in the States
A: So we just leave it to them on their own nah to carry out whatever practices"
21,"A: ya lah so that day was the last Then I I won't be going down anymore for their
B: The other teacher has taken over
A: She has taken since she join in July But she's away now in the States
A: So we just leave it to them on their own nah to carry out whatever practices
A: Your lunch is until two
A: Anytime
A: Two"
22,"B: To students uh
A: Which group
B: Teach them uh English Language students Third year students
A: [ah] [ah]
B: So teach them uh the library how to use the library the catalogue
A: How long is the session
B: One hour"
23,"B: One hour
A: Uhm
B: So I've to go and go back and prepare
A: One hour [ah]
B: Ya so quite I think quite a lot of things to teach tell them even the catalogue itself
B: there's so many things to tell them
A: It'll be held in the library"
24,"B: Uhm on and off not not all the time but next year there will probably be more because we're going to have uhm sort of teach them link up linc
B: the terminal the computer catalogue for all the first year students if possible third year students as well
B: so there's going to be lots and lots of things to do ya so and then fourth year students also going to have a more in-depth one one to-one type when they do their academic exercises
B: [ah] we'll help them on their topic
B: so I think right from Aug July up to I think one whole term first term will be busy all the time so
A: Do you enjoy giving lecture"
25,"A: Or or you you you you have to do that also
B: No I don't For those teaching staff they as and when they come in a new staff we'll do
A: Brief them
B: Ya for that one-to-one basis yah that means we make an appointment with them ask them to come to library uhm for let's say one hour or so
B: we'll just show them how to use a catalogue show them all our library bring them to the different department tell them what to do and all that
B: You know most of the lecturers
A: Not almost"
26,"B: we'll just show them how to use a catalogue show them all our library bring them to the different department tell them what to do and all that
B: You know most of the lecturers
A: Not almost
A: depends on department like some new some new lecturers and all that [lah] when when when it come
A: and then make an appointment with them then I know them by face
A: and all that others is like based on what I know is as an undergrad
A: then I'm suppose to do uh estate management architecture"
27,"A: and then make an appointment with them then I know them by face
A: and all that others is like based on what I know is as an undergrad
A: then I'm suppose to do uh estate management architecture
A: do this blur you know that day one one lecturer came and ask uh uh ask me to help him [lah] so I went then
A: I don't know I can't really know the subject you see
A: so I can't
A: not that he ask me certain questions"
28,"A: I know because I studied studied that subject before so anyway I try to smoke my way through
A: *laughs*
A: Oh you mean you bring him to the shelf uh
B: Ya bring him to shelf and know like uh like depends on what because different aspects let's say of architecture and all that you see so I wouldn't be that sure [lah] better go two o'clock already
A: ya </X> </I>"
29,"A: because uhm
C: Thursday is good for you
A: It's good for me because I finish my lab class at twelve o'clock
C: Ah [ah]
A: and then I don't start again until two o'clock
C: Uhm uhm
A: so in between I have two hours so that would be a good time"
30,"C: Which one
C: The the
A: The NUS Guild House
C: Ah [ah]
A: Uh what do you think
C: Okay Guild House is alright
C: Is she a member"
31,"C: Did you say Thursday <unclear> word </unclear>
A: Thursday
A: well I finish at twelve o'clock
C: Ah [ah] okay
A: So so
C: Ya can
C: If I shift my class then I'll finish at twelve o'clock"
32,"C: So which means that in another one or two they are they are doing interviews too
A: No they're doing uh role-plays
C: No they're not
C: Ah okay because I in two or three weeks' time they'll be they'd have finished
A: They would have finished
C: How many hours <unclear> word </unclear>
A: What"
33,"A: So how do you find your students
C: Which group
A: Your your second and third years
C: The [ah]
A: Ya
C: The both are BM
A: Uhm uhm"
34,"C: Campus-wise
A: Ya then I hear
A: I I I always get to uhm to you know listen to all these complaints about ya what group <unclear> word </unclear>
C: Ah yes yes
A: People who can't work with each other
C: Yes
A: And uh yes and quite a few times I have to mediate you know"
35,"A: I was marking my papers
B: Oh
A: My Literature papers
B: Ah hah
A: Ya
B: Oh
A: Just took a break lah"
36,"B: Ah hah
A: Ya
B: Oh
A: Just took a break [lah]
A: Just now so have to go back to my work
B: How many classes do you have to mark
A: Three"
37,"A: Ya
A: So uhm Monday is okay because I I don't have any papers
A: Tuesday my paper start coming in
B: Ah hah
A: Then I don't get any till next Monday
A: You know so stupid the way they planned it
A: So I have all my papers next Mon the following Monday and it is like five sets of Literature and two sets of Moral Education"
38,"A: Then I don't get any till next Monday
A: You know so stupid the way they planned it
A: So I have all my papers next Mon the following Monday and it is like five sets of Literature and two sets of Moral Education
B: Ah hah
A: So I I have so much to mark on that you know during that week
A: Terrible
B: Oh"
39,"B: Oh
A: You know what I mean because I would have marked because the paper I am going to get on Tuesday is not too difficult to mark
B: Who does the scheduling
A: The head of department HOD [lah]
B: Ah okay
A: Ya but I I don't know I see if I can't cope might <unclear> word </unclear> tell her and then maybe second next term they can uhm do something about it lah
A: Ya"
40,"A: You know what I mean because I would have marked because the paper I am going to get on Tuesday is not too difficult to mark
B: Who does the scheduling
A: The head of department HOD lah
B: Ah okay
A: Ya but I I don't know I see if I can't cope might <unclear> word </unclear> tell her and then maybe second next term they can uhm do something about it lah
A: Ya
B: Well guess what I am looking at at the moment"
41,"B: Who does the scheduling
A: The head of department HOD lah
B: Ah okay
A: Ya but I I don't know I see if I can't cope might <unclear> word </unclear> tell her and then maybe second next term they can uhm do something about it [lah]
A: Ya
B: Well guess what I am looking at at the moment
A: Uh Ashley"
42,"B: Yes he fell down on a couch
A: Uhm
B: Bas Bask in the uh in the warmth of the house
A: Uh hah
B: Tell you this chap is something else
B: He is so naughty
A: Uhm uhm"
43,"B: Ya
A: Oh
B: And it is funny because they didn't check on on uhm Sandy
A: Because pariah <unclear> word </unclear> cat what
B: Uh
A: Sandy
B: Sandy"
44,"A: Oh because it is pedi pedigree is it
A: Patrich <unclear> word </unclear> Pedigree cat
B: Yes and no I don't think they make uh you know I don't think they make a differentiation but I think it was I think it's something which they just like they take a hand
A: Random [lah]
B: Ya
A: Random check
B: <unclear> word </unclear> pick on you know uh they just want to check on on the new you know adopted"
45,"B: Oh very lucky cat
B: Oh not to worry we want to go <unclear> word </unclear>
A: Aiyoh
A: Ya [lah] your cats are so lucky [lah]
B: Hah
A: The animals who live in your house are just just so lucky
A: They must have been"
46,"B: Oh not to worry we want to go <unclear> word </unclear>
A: Aiyoh
A: Ya lah your cats are so lucky lah
B: Hah
A: The animals who live in your house are just just so lucky
A: They must have been
B: They must have had very good lives"
47,"A: No they couldn't have been good human beings cause then they wouldn't have been animals right
B: No there is another theory that you cannot sort of uh you cannot sort of uh dig <unclear> word </unclear> what
B: Is there such a word as degress re regress
A: Uh [ah]
B: Regress from a human being to a animal
A: You cannot uh
B: No"
48,"A: Ya
A: See I am telling them wrong things
B: <unclear> word </unclear> coming back as a cockroach but have a harder time as a cockroach
A: Oh aiyah
A: That is so silly
A: I mean I mean which cockroach has a good time
A: Which cockroach sleeps on a bed"
49,"B: I mean
A: I I don't think that
B: In other words I mean if there is a life before it is possible it may not be possible but I think <unclear> word </unclear> it's just a theory
B: But it is quite likely you know that there should be cleared <unclear> word </unclear> live <unclear> word </unclear> before if that explains why you know our Lord now
A: No I don't think so lah
B: Ya there it it explains what they cannot change Like for example you know our family
B: Why are we born into certain family"
50,"A: I I don't think that
B: In other words I mean if there is a life before it is possible it may not be possible but I think <unclear> word </unclear> it's just a theory
B: But it is quite likely you know that there should be cleared <unclear> word </unclear> live <unclear> word </unclear> before if that explains why you know our Lord now
A: No I don't think so [lah]
B: Ya there it it explains what they cannot change Like for example you know our family
B: Why are we born into certain family
B: Things like that"
51,"B: And uh you know and then he went rich <unclear> word </unclear>
A: There are lots people like that
A: From rags to riches kind of story
B: Not lots [lah] Carol
A: Quite a lot right I mean
B: I mean there are
A: Just that we don't know like especially those back those from China and all that"
52,"B: Most most of the collies that came here well maybe they became middle class over
A: uhm uhm
B: Generations but they didn't like become rich overnight
A: Not overnight [lah] of course not overnight
A: They worked very hard
B: They as <unclear> word </unclear> individuals did did not
A: Uhm uhm"
53,"B: <unclear> word </unclear> not possible either
B: Whichever
A: Ya
A: I suppose you mean you can hold to your own beliefs [lah]
B: But it is just like God I mean sometimes you man I mean Oh did you read the latest Readers' Digest
A: Oh on what
B: Steven Hawkins"
54,"B: That became <unclear> word </unclear>
A: That is the latest one is it
A: I haven't read the latest
B: Uh hah
A: No
B: It is very interesting
B: Go and read it"
55,"B: And uh
A: Oh is it the is he the one who is presen pra paraplegic
B: Yes he is
A: Ah okay
B: He is very famous
A: Ya ya ya
A: I remember the name"
56,"B: So any way they made one of his books into a movie and oh did you go to for the film festival
A: No did you
B: Uhm no but Adeline went for one of the opening uhm uhm one of the opening
A: opening shows [ah]
B: shows The Crying Game
A: Oh ya it is suppose to be you you saw it right
B: I saw it"
57,"A: Ya it is it's one it's one it's in the you cannot tell me the ending right
A: You are not supposed to tell me
A: Ya it will be kind to me
A: I got to see it eventually [lah]
B: You have to see it <unclear> word </unclear>
A: Ya the thing is that I don't which theatres though
A: It's kind of obscure places"
58,"B: You have to see it <unclear> word </unclear>
A: Ya the thing is that I don't which theatres though
A: It's kind of obscure places
B: No [lah]
B: There are all sorts of interesting twists to it
A: Uhm
B: You know it is like it is very British <unclear> word </unclear>"
59,"B: It is a British film
A: Oh Ai yoh my friend went to see it and she said it was very good also
A: They have you know you said it was very good so
B: Uh [ah]
A: Ya must go see it lah
B: I figured that we get movies like after two months uh after America has it
A: Ya"
60,"A: Oh Ai yoh my friend went to see it and she said it was very good also
A: They have you know you said it was very good so
B: Uh ah
A: Ya must go see it [lah]
B: I figured that we get movies like after two months uh after America has it
A: Ya
B: Uhm"
61,"A: Well it is better than those days when you used to get them about one year or two years later
B: Really
A: Remember those days it was like we get it so late
B: Ah right
A: Six seven about a year later we get the film
B: Oh
A: Ya but now it is almost quite quite close"
62,"B: Oh
A: Ya but now it is almost quite quite close
B: <unclear> word </unclear> Little Mermaid Little Mermaid
A: Uh hah
B: We have it in just after because when I saw it in the States I mean then I came back my goodness after several months they showed it
B: I thought this is dingish <unclear> word </unclear>
B: In the States they already have it on video tapes"
63,"A: For example uh the cha kway teow you go to the cha kway teow man you said one fifty he'll know it's uhm one fifty worth of cha kway teow but if you were to go out and say one fifty to any passerby uhm something will happen
D: I mean besides besides that uhm local and geographical variations uhm for words like uhm gas and petrol uhm is American but petrol is more towards Singapore so uhm if you use the word gas in Singapore people might think that if you wanna buy you wanna you know order a tank of gas for your kitchen stove or something
D: So different ideas behind the words and uhm like Gail was saying for the word home different people have different ideas or different values attached to it right
C: Because they experience uhm it differently I mean in the sense that for some people home would be uhm very good uh very happy comfortable sort of idea whereas to some other people it might mean uhm like uh a broken home where beatings and drunken well whatever [ah] you know that kind of thing ya so it depends on experiences also
B: Say opposition what what you want to say to their points so far
E: Uhm I think what Gail says contradicts what Shirley says because Gail says that uhm in the definition of code you exclude world but then according to Shirley uhm context would therefore include world so I think that's contradiction there and uhm
C: Ya but we are sup we are proposing this motion right which should that we are we define the motion as being a correspondents between form and meaning and we are saying that world is important also so that's why context's important"
64,"B: By all means
E: Okay uhm *laughter*
E: If we were to take necessary condition as p and sufficient condition as q so uhm we do it this way
E: So if p is necessary condition [ah] p is sufficient condition and q is necessary condition neither necessary nor sufficient will be not bracket p or q so this case is true only when both p and q is false
E: So uhm if you want to say that this statement is true you have to prove to us that it is not necessary as well as not sufficient
E: But what we are trying to say that is that we are we we we can prove either of this three cases
E: See we can prove that it is just necessary or you can prove that it is just sufficient or you can prove that it is both necessary and and and sufficient and ours case stands here okay"
65,"F: It all comes under the heading of language you see and as a result it comes under the heading of codes
F: That's how our definition comes about
B: Okay now if I may interject uh for a while I think this this debate is kind of a digressing a little bit from what you're supposed to be talking about
B: Ah this thing about the the code you talk about whether it includes the world or doesn't include the world
B: It's quite a <unclear> word </unclear> point really it's not a point worth debating because you're given this you know in your two zero three you're given this form meaning well thing right and your your well from your reading okay you read it you read that shared code is a system a system of signs right system of signs and what is a sign
B: A sign is a okay a sign is something which ties form and meaning right which is a you know the the classic Sausurrean definition of a sign where you
B: Now when the the word sign is used by the structural linguists you know from Sausure's time the way they use meaning there is not the same as this framework which you've been given two zero three this form meaning world this FMW thing"
66,"B: Now when the the word sign is used by the structural linguists you know from Sausure's time the way they use meaning there is not the same as this framework which you've been given two zero three this form meaning world this FMW thing
B: In fact this FMW thing okay this is just an incidental point which I'm just saying to you now
B: It's it's just an abstraction alright just a framework uh which Dr Ferris is using himself okay which I personally I don't believe in okay
B: The kind of semantics that I do [ah] [ah] this to me this is this is bullshit okay but for your purposes for exam purposes you know if you *laughter*
B: alright
B: So when we talk about meaning in terms of uh the linguistic sign or whatever sign uhm it does not necessarily refer to just this this M alone okay could refer to to your W as well
B: Because when we talk about meaning okay in the Sausurean sense it can be sense as well as reference alright"
67,"B: One letter can represent more than one sound ya
A: Okay for example
B: Like uhm uhm uhm car and uh treat and uh hit
C: Hate hat all using [ah]
A: The ah okay
C: <unclear> word </unclear>
A: Ser Suan any examples"
68,"A: Okay for example
B: Like uhm uhm uhm car and uh treat and uh hit
C: Hate hat all using ah
A: The [ah] okay
C: <unclear> word </unclear>
A: Ser Suan any examples
D: <unclear> word </unclear> Country aspect"
69,"A: Boon Leng
C: Uh I think in the past they they always think that language has everything to do with writing so they always consider that writing is a I mean a a bit I think they're trying to reverse the <unclear> word </unclear> slowly
C: I think it's an over-correction now
A: Ah what does what does over-correction mean
C: That means to say uh they they do correct these false notion to a to a very extreme degree
A: Okay so instead of saying that now we should raise the standard of ah speech to the standard of writing make them equal they actually make it even more important
A: So now they're saying the other way uh the other thing that writing should represent speech"
70,"C: I think it's an over-correction now
A: Ah what does what does over-correction mean
C: That means to say uh they they do correct these false notion to a to a very extreme degree
A: Okay so instead of saying that now we should raise the standard of [ah] speech to the standard of writing make them equal they actually make it even more important
A: So now they're saying the other way uh the other thing that writing should represent speech
C: Ya
A: Okay what other explanations so you have besides over-correction"
71,"A: So now they're saying the other way uh the other thing that writing should represent speech
C: Ya
A: Okay what other explanations so you have besides over-correction
C: Uh they also because in the last in the past when they uh when they were learning how to read and write they they were using uhm I mean the students actually have to pronounce the word so for them uhm the words I mean [ah] they equate them with uh <unclear> word </unclear>
C: So uh but because the the kind of education uh system that we have nowadays is that we just look at the word and the word forms a mental impression on our heads so because the system is different I should think that uhm whoever is uh formulating this assumption must have got it from his ah learning experiences
A: Uhm uhm okay so the old habits of reading and writing affected their view of what spelling should be
A: Then one more thing about maybe they saw a very close connection between writing and speech and therefore they assume that it must be exactly the same"
72,"C: Ya
A: Okay what other explanations so you have besides over-correction
C: Uh they also because in the last in the past when they uh when they were learning how to read and write they they were using uhm I mean the students actually have to pronounce the word so for them uhm the words I mean ah they equate them with uh <unclear> word </unclear>
C: So uh but because the the kind of education uh system that we have nowadays is that we just look at the word and the word forms a mental impression on our heads so because the system is different I should think that uhm whoever is uh formulating this assumption must have got it from his [ah] learning experiences
A: Uhm uhm okay so the old habits of reading and writing affected their view of what spelling should be
A: Then one more thing about maybe they saw a very close connection between writing and speech and therefore they assume that it must be exactly the same
A: What sort of close connection do they see between writing and speech"
73,"A: So if we think that such views are wrong how do you think you can express the relationship better the relationship between speech and writing
E: Under true functions
A: Sorry
E: They've close connection but [ah] they have speech and writing as different functions and they occur in different contact
A: Right so can you give examples of that different functions etcetra
E: Uh speech has uhm paralinguistic function but uh writing doesn't have
A: For example"
74,"A: For example
A: What do you mean
A: Paralinguistic features
E: Uhm their gestures their facial expressions [ah] but you cannot uhm put that into writing
A: Okay that's one
A: What else
A: Choon Kiat"
75,"A: Once you borrow you do you spell it your own way or do you spell it their way
D: They anglicise it
D: It's not the the their own way modified their spelling
A: Ah Latin words
A: Okay what about French words like beauty cigarette
A: When you see the 'ette' you know immediately it's not English it's French right do you *laughs*
A: Intuitively maybe hopefully anyway so what about that"
76,"A: Okay so there are different explanations for etymological spellings
A: What about phonological
A: How did that start
F: Uhm are you referring to [ah] older words which were words which were spelt in a way which was pronounced in the past like for example I think psychology was the p-s was was pronounced in the past right
F: Was it
A: Was it
F: Was it somebody words"
77,"F: Was it somebody words
F: *laughs*
A: What's the point then if that is the case
F: I believe it's not to confuse people right like you [ah] it's been around for so long
A: Oh so you don't eliminate the p
B: But what I thought about phonological is like to reflect an image of sound
A: Ya"
78,"A: I know it's a very new matrix that uh forcing on you all but I hope that after this tutorial you'll be able to see that the s matrix is but one out of many matrices that you can use okay
A: And even if you start out with your s matrix and let's say you need to transform it to another matrix there is no problem
A: Let's say for question uh three or question four rather for question four you find that the t matrix actually is more suitable for practical application
A: There's no problem as a conversion formula between the two so you can always switch from one to the other okay
A: Right so come in come in
A: Right first of all we try to establish the relationship between the s and the t and that's our question three
A: Okay now this is your two port network"
79,"A: Each cycle you shift one bit right
A: Okay now think of how the state of the pipeline will proceed from here
A: Right we've started one job without this okay so we loaded this collision vector one clock cycle later we shifted a one out we cannot start a new job
A: Second clock cycle after that you're shifting a zero you know you can start a new job fine and go ahead and start a new job alright
A: If you do that then the new job is going to fit in it's going to start right here right
A: Two cycles later and the usage pattern will follow the same as the first one so it will go this way this way
A: That's the second job"
80,"A: Can you see
A: Is it too light is it
A: Can you see from behind
A: You can't [ah]
A: Would it help if I turn off the light right
B: Right
A: So we have first of all the nitration of furan the nitration of furan uhm nitration is carried out using what is this reagent uhm Ee Lee"
81,"B: Right
A: So we have first of all the nitration of furan the nitration of furan uhm nitration is carried out using what is this reagent uhm Ee Lee
A: It's the usual nitrating reagent for the hetrocyclic compound Chek Yu
A: Ahum Tin Wee
A: This is the
C: Nitronium acetate
A: Nitronium acetate acetile nitrate alright quite close alright"
82,"A: But for the rest you find that if this is S alright or if it is N-H alright thiophen or pyrrole actually these two alternatives also exist that means it can go like that or by this way
A: But you find that this pathway hardly takes place at all because the activation energy for loss of proton is very small and why is it small
A: It's because aromatic character is well developed in the final product alright so it never even looks at this pathway it is directed along this direction in this direction
A: So because of this [ah] for furan you do not have a straightforward substitution alright of H like N-O-2 but there is an addition by the acetate and ion to give rise to the two five adduct alright which is not stable so you do get back the product that uh one sets out to obtain the two nitrofuran by treatment of heat alright or uh by heat treatment or treatment with pyridine alright that will eliminate the acetate and give rise to the product okay
A: Right so that's for the nitration of furan
A: Now there could be other reagents used in place of acetyl nitrate uh reagents which contain a nitronium cat-ion and which are also weakly acidic
A: One example is nitronium etrafluoroborate this alright nitronium tetrafluoroborate"
83,"A:  In uh in other words asking the court to say look I've got interests this guy can move in but surely he's got to think about me
A:  Could you ask him to give me some money at least you know that sort of thing
A:  So an application for relief Section eighteen CLPA
A:  Okay so now question three the same sets of facts but uhm two a which say that as far as that is concerned uhm the PLA has got uh provision for entry possession
A:  The difference between LPA entry and CLPA entry is that under the LPA the mortgagee has got to give notice the one month notice before he moves in and his notice is given only if there is default
A:  Okay if you remember under Common Law the mortgagee's right to enter is at any time even before the ink is dry on the deed
A:  But in this case in the LTA your entry must be upon default"
84,"A:  You're going to lose your place in the queue and there's no point saying I've got a legal mortgage it is valid therefore I have a power of sale but you're number ten
A:  By the time you come to exercise the power of sale there's nothing to sell right
A:  So you want to be first in line you register
B:  <unclear> word </unclear> being a legal mortgage [ah] doesn't it rank you ahead of the rest already
A:  Yes no because if you don't register you don't have priorities so the fact that you are legal mortgage doesn't matter now because the RODA changes your rights of priority section four basically and section fourteen of the RODA okay
A:  Section section four says you must register section fourteen says once you register you are preserving your priority
A:  Consequently if you don't register you don't preserve your priority"
85,"A:  That's two e and therefore two f is basically the same answer
A:  The unregistered mortgage it doesn't matter whether you are legal or equitable in this case once you're unregistered you do not have priority
A:  Of course the registered legal mortgage will take priority
A:  One small little refinement to this point if the unregistered mortgage is an equitable mortgage you can't you can't register it at all under LTA and since you can't register it there is no fight because here we've got a interest that is unregisterable versus an interest which is registerable and between these two then the the [ah] equitable mortgagee must lodge a caveat to preserve his priority
A:  If he doesn't lodge a caveat I would think he remains outside the register and therefore he has no right at all
A:  Now in this case you would want to note the difference between the RODA system and the LTA
A:  Remember I said that under the RODA whether you are equitable or you're legal you are both registerable"
86,"A:  In the LTA system only legal mortgages can be registered and the equitable mortgage if you want to preserve your prio priority you have to caveat your interest okay
A:  And that sums up everything you need to know about LTA
A:  Questions
B:  Sir when you lodge a caveat right does he rank uh ahead of the legal mortgage <X>
A:  Well the caveat is a sort of notice to the world
A:  Re remember if you remember your fixed charge lectures your first charge is a floating charge
A:  A second charge comes along and it's a fixed charge Now the fixed charge prevails over the floating charge you jump the queue if you're a fixed charge but if you are a fixed charge with notice of a negative pledge cross up here then you take with notice and therefore you take subject to that floating charge interest right Same thing here you've got an equitable mortgage caveated notice to all subsequent people that I've got an equitable mortgage then a legal legal mortgage comes along it's registered but it's registered subject to that interest because there is notice either actual or constructive okay Right Further questions Okay no further questions we move on to our letters of credit and firts question you are now employed by this bank very progressive bank It wants to entertain the customers' wish If you can solve the problems that the requests ah raise So now we want to discuss these problems and see whether it can accede to the customers' requests Okay so Mr Big your customer first request electronic communication facilities for credit Can you accede to that request Would you Are there any problems Mr Big just wants communication facilites to apply for credits to notify his beneficiary to notify himself that his credit has been opened basically that Can you do it Yes No Yes or no S2: Yes"
87,"B:  Sir when you lodge a caveat right does he rank uh ahead of the legal mortgage <X>
A:  Well the caveat is a sort of notice to the world
A:  Re remember if you remember your fixed charge lectures your first charge is a floating charge
A:  A second charge comes along and it's a fixed charge Now the fixed charge prevails over the floating charge you jump the queue if you're a fixed charge but if you are a fixed charge with notice of a negative pledge cross up here then you take with notice and therefore you take subject to that floating charge interest right Same thing here you've got an equitable mortgage caveated notice to all subsequent people that I've got an equitable mortgage then a legal legal mortgage comes along it's registered but it's registered subject to that interest because there is notice either actual or constructive okay Right Further questions Okay no further questions we move on to our letters of credit and firts question you are now employed by this bank very progressive bank It wants to entertain the customers' wish If you can solve the problems that the requests [ah] raise So now we want to discuss these problems and see whether it can accede to the customers' requests Okay so Mr Big your customer first request electronic communication facilities for credit Can you accede to that request Would you Are there any problems Mr Big just wants communication facilites to apply for credits to notify his beneficiary to notify himself that his credit has been opened basically that Can you do it Yes No Yes or no S2: Yes
A:  Yes Who says no Anyone thinks you won't request uh you won't accede to the request So you think yes All of you think yes Are there no problems then What problems do you think there might be in this case Any problem Okay the technical problems we're not going to discuss them here but anyway this is not a problem because technology exists to allow the customer to communicate with this bank by electronic communications right So it exists The modem is quite cheap the telephone is quite cheap your fax machine all these things are on fact quite common So it's not the question of technology Is there a legal problem Is there a legal problem here What sort what sort of problem do you have here if you think there is a problem Anyone </X> </I>"
